storenumber;storetxt;count_of_instances
201;OK712201;7
203;OK712203;8
204;TX253204;11
205;TX253205;9
206;OK712206;9
207;NM418207;14
211;NM418211;7
213;OK712213;9
215;NM418215;7
216;OK712216;10
217;OK712217;10
224;OK712224;12
226;TX253226;16
227;NM418227;8
228;NM418228;11
231;TX253231;16
233;TX253233;10
234;NM418234;5
235;NM418235;6
236;TX253236;9
237;TX253237;10
238;NM418238;19
240;TX253240;2
242;NM418242;9
244;TX253244;7
246;TX253246;7
247;TX253247;7
248;OK712248;8
255;OK712255;6
261;OK712261;7
262;NM418262;10
263;OK712263;14
264;NM418264;11
267;NM418267;10
269;OK712269;10
275;NM418275;9
277;OK712277;12
278;OK712278;10
279;NM418279;8
280;TX253280;10
281;OK712281;14
282;OK712282;9
283;TX253283;8
285;NM418285;10
291;OK712291;8
