DateOfSale,EmployeeCode,ComboCode,markup_amount,total_trans_profit
12/03/2016,154,5,2.9160,11.6640
12/05/2016,234,8,3.4950,3.4950
12/13/2016,234,8,3.4950,13.9800
12/14/2016,154,6,3.7160,11.1480
12/22/2016,234,4,2.3970,2.3970
12/26/2016,234,7,3.4950,10.4850
12/28/2016,875,8,3.4950,13.9800
12/30/2016,234,7,3.4950,6.9900
01/02/2017,234,7,3.4950,13.9800
01/02/2017,875,7,3.4950,6.9900
01/09/2017,875,7,3.4950,10.4850
01/10/2017,324,1,1.6975,5.0925
01/14/2017,324,6,3.7160,7.4320
01/19/2017,154,6,3.7160,7.4320
01/19/2017,234,4,2.3970,7.1910
01/19/2017,234,7,3.4950,6.9900
01/19/2017,324,7,3.4950,6.9900
01/21/2017,354,1,1.6975,5.0925
01/24/2017,154,1,1.6975,3.3950
01/26/2017,324,7,3.4950,10.4850
01/27/2017,354,7,3.4950,3.4950
01/28/2017,875,7,3.4950,10.4850
01/31/2017,324,7,3.4950,13.9800
01/31/2017,354,7,3.4950,6.9900
02/02/2017,234,7,3.4950,13.9800
02/03/2017,324,1,1.6975,5.0925
02/04/2017,234,7,3.4950,3.4950
02/04/2017,875,5,2.9160,2.9160
02/05/2017,234,1,1.6975,1.6975
02/06/2017,154,8,3.4950,6.9900
02/07/2017,324,2,1.9975,1.9975
02/07/2017,324,7,3.4950,6.9900
02/10/2017,875,5,2.9160,5.8320
02/17/2017,234,7,3.4950,10.4850
02/18/2017,154,7,3.4950,3.4950
02/22/2017,154,8,3.4950,6.9900
02/22/2017,324,2,1.9975,5.9925
03/02/2017,875,5,2.9160,11.6640
03/04/2017,154,1,1.6975,3.3950
03/04/2017,875,5,2.9160,5.8320
03/09/2017,234,3,2.2975,4.5950
03/12/2017,234,8,3.4950,3.4950
03/14/2017,324,2,1.9975,5.9925
03/23/2017,875,7,3.4950,3.4950
03/25/2017,234,1,1.6975,1.6975
03/29/2017,354,7,3.4950,3.4950
03/31/2017,875,6,3.7160,7.4320
04/02/2017,234,7,3.4950,10.4850
04/03/2017,154,7,3.4950,10.4850
04/04/2017,154,3,2.2975,2.2975
04/05/2017,234,1,1.6975,5.0925
04/05/2017,324,1,1.6975,3.3950
04/11/2017,154,2,1.9975,1.9975
