boxtxt,costtomake,dateofshipment,weightofshipment,shipmentinsurrancecost,basevalue,storetxt,region_name,currentcostofshipment,valueofshipment,Total_Value,Total_V_NEW_Metric
BQ261014,2.6,09/10/2019,7.3,3.7,186,TX253101,Region #1,4.6,2804.9,2788,2791.6
DA251912,2.4,02/25/2019,31.2,3.7,116,TX253101,Region #1,10.8,1749.3,1709.4,1718.2
DA251912,2.4,09/03/2019,18.7,2.5,127,TX253101,Region #1,7.4,1915.2,1896.8,1893.8
DG282516,2.8,05/06/2019,25.8,2.8,106,TX253101,Region #1,9.7,1598.5,1571.1,1570.3
DM481414,2.6,11/05/2019,49.7,3.5,187,TX253101,Region #1,16,2820,2763.8,2773.8
DX301310,3.9,03/15/2019,35.4,2.5,191,TX253101,Region #1,13.5,2880.3,2846.3,2841.4
EC423810,3.7,10/22/2019,25.8,3.1,193,TX253101,Region #1,10.7,2910.4,2877.7,2879.7
KH102813,1.2,12/24/2019,30.1,3,103,TX253101,Region #1,9.3,1553.2,1525.1,1526.3
KH102813,1.2,04/16/2019,21.9,2.7,169,TX253101,Region #1,7.1,2548.5,2529.3,2528
KQ264020,2.9,06/03/2019,6,3.4,111,TX253101,Region #1,4.5,1673.9,1658.3,1660.8
KQ264020,2.9,05/16/2019,15.9,2.9,191,TX253101,Region #1,7.2,2880.3,2859.5,2859.4
QH401919,2.4,07/23/2019,25.4,2.7,136,TX253101,Region #1,9.2,2050.9,2026,2024.2
KH102813,1.2,07/09/2019,14.4,3.5,150,TX253109,Region #1,5.1,2262,2244.3,2247.3
MA101120,2.1,04/25/2019,45.3,2.9,94,TX253109,Region #1,14.4,1417.5,1376.3,1376
NC103116,2.3,02/04/2019,20.3,2.8,176,TX253109,Region #1,7.8,2654.1,2632.6,2631.6
BQ261014,2.6,10/05/2019,32.1,3,115,TX253113,Region #1,11.3,1734.2,1700.1,1701.6
DA251912,2.4,06/24/2019,21.6,3.7,138,TX253113,Region #1,8.2,2081,2051.2,2057.4
DA251912,2.4,09/07/2019,42.5,2.9,154,TX253113,Region #1,13.8,2322.3,2282.1,2282.4
DG282516,2.8,12/09/2019,9.4,2.8,114,TX253113,Region #1,5.3,1719.1,1704.4,1703.7
DM481414,2.6,05/19/2019,50.8,3.5,107,TX253113,Region #1,16.3,1613.6,1556.1,1566.6
DM481414,2.6,06/13/2019,6.9,2.8,91,TX253113,Region #1,4.4,1372.3,1360.1,1359.5
DX301310,3.9,04/19/2019,10.5,2.9,112,TX253113,Region #1,6.8,1689,1669.7,1669.5
FD311219,2.6,03/23/2019,15.1,2.6,161,TX253113,Region #1,6.7,2427.9,2410.2,2408.5
FD311219,2.6,08/12/2019,46.8,2.4,190,TX253113,Region #1,15.3,2865.2,2829,2821.1
GJ331220,3.1,05/02/2019,23.1,2.9,106,TX253113,Region #1,9.3,1598.5,1571.6,1571.5
NC103116,2.3,11/04/2019,33.6,2.7,131,TX253113,Region #1,11.4,1975.5,1944.8,1942.7
