storenumber,storetxt,count_of_instances
202,OK712202,13
208,TX253208,10
209,TX253209,10
210,OK712210,5
212,OK712212,8
214,OK712214,10
218,OK712218,7
219,NM418219,18
220,TX253220,8
221,NM418221,11
222,OK712222,11
223,OK712223,5
225,TX253225,12
229,OK712229,8
230,NM418230,14
232,TX253232,13
239,TX253239,6
241,NM418241,16
243,NM418243,8
245,TX253245,13
249,TX253249,8
250,OK712250,10
251,TX253251,10
252,OK712252,9
253,OK712253,7
254,OK712254,12
256,OK712256,7
257,TX253257,16
258,NM418258,13
259,OK712259,14
260,OK712260,9
265,NM418265,15
266,NM418266,8
268,TX253268,6
270,OK712270,12
271,OK712271,4
272,NM418272,8
273,NM418273,9
274,OK712274,10
276,NM418276,9
284,TX253284,13
286,TX253286,10
287,TX253287,14
288,NM418288,13
289,OK712289,10
290,NM418290,16
292,OK712292,6
293,NM418293,14
294,NM418294,5
295,NM418295,8
296,TX253296,13
297,TX253297,11
298,NM418298,12
299,NM418299,6
300,TX253300,18
